"Ident_8","Kmp_Rsys",Rijstrook,"X_coord_EPSG_31370","Y_coord_EPSG_31370","beschrijvende_id","breedtegraad_EPSG_4326","lengtegraad_EPSG_4326","lve_nr","unieke_id","volledige_naam"
R0010002,"14.669",R10,"149761.8249","211228.9487",H292L10,"51.21101892","4.36534883","496.0",3691,"Halve snede kmpt. 14.6"
R0010002,"14.669",R11,"149761.8249","211228.9487",H292L20,"51.21101892","4.36534883","496.0",3692,"Halve snede kmpt. 14.6"
R0010002,"14.669",R12,"149761.8249","211228.9487",H292L30,"51.21101892","4.36534883","496.0",3693,"Halve snede kmpt. 14.6"
R0010002,"14.669",R13,"149761.8249","211228.9487",H292L40,"51.21101892","4.36534883","496.0",3694,"Halve snede kmpt. 14.6"
A0020001,"82.422",R09,"171832.8829","175646.1071",H122L00,"50.89075522","4.679056809","226.0",3695,"Snede Herent  Winksele"
A0140001,"35.298",R12,"93261.2903","182950.7219",S192L30,"50.95406169","3.561241143","126.0",1033,"complex Deinze (7)"
A0130001,"2.687",R11,"157831.5465","211192.9097",H192L20,"51.21064126","4.480827705","370.0",2364,"E313 Spitsstrook kmpt. 2.730"
A0140001,"35.298",R11,"93261.2903","182950.7219",S192L20,"50.95406169","3.561241143","126.0",1032,"complex Deinze (7)"
A0130001,"2.687",R10,"157831.5465","211192.9097",H192L10,"51.21064126","4.480827705","370.0",2363,"E313 Spitsstrook kmpt. 2.730"
A0140001,"35.298",R10,"93261.2903","182950.7219",S192L10,"50.95406169","3.561241143","126.0",1031,"complex Deinze (7)"
A0130001,"2.687",S09,"157831.5465","211192.9097",H192L00,"51.21064126","4.480827705","370.0",2362,"E313 Spitsstrook kmpt. 2.730"
A0141061,"0.354",R10,"93577.0577","183390.5005",H205L10,"50.95804548","3.565667196","126.0",1030,"complex Deinze (7)"
A0130001,"2.094",R12,"157247.6495","211257.5047",H192L30,"51.21122954","4.472473367","369.0",2361,"E313 Spitsstrook kmpt. 2.1"
A0130001,"2.094",R11,"157247.6495","211257.5047",H192L20,"51.21122954","4.472473367","369.0",2360,"E313 Spitsstrook kmpt. 2.1"
A0141021,"0.199",R10,"93589.5669","183402.0605",H207L10,"50.9581506","3.565843452","126.0",1029,"complex Deinze (7)"
A0140002,"35.785",R12,"93636.4935","183271.9241",H291L30,"50.9569854","3.566531318","126.0",1028,"complex Deinze (7)"
A0130001,"2.094",R10,"157247.6495","211257.5047",H192L10,"51.21122954","4.472473367","369.0",2359,"E313 Spitsstrook kmpt. 2.1"
A0140002,"35.785",R11,"93636.4935","183271.9241",H291L20,"50.9569854","3.566531318","126.0",1027,"complex Deinze (7)"
A0130001,"2.094",S09,"157247.6495","211257.5047",H192L00,"51.21122954","4.472473367","369.0",2358,"E313 Spitsstrook kmpt. 2.1"
A0140002,"35.785",R10,"93636.4935","183271.9241",H291L10,"50.9569854","3.566531318","126.0",1026,"complex Deinze (7)"
A0130001,"1.661",R12,"156819.0893","211188.6527",H192L30,"51.21061592","4.466339237","368.0",2357,"E313 Spitsstrook kmpt. 1.720"
R0040991,"0.026",R11,"108037.4359","188803.7411",H206L20,"51.00792891","3.770856429","125.0",1025,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.661",R11,"156819.0893","211188.6527",H192L20,"51.21061592","4.466339237","368.0",2356,"E313 Spitsstrook kmpt. 1.720"
R0040991,"0.026",R10,"108037.4359","188803.7411",H206L10,"51.00792891","3.770856429","125.0",1024,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.661",R10,"156819.0893","211188.6527",H192L10,"51.21061592","4.466339237","368.0",2355,"E313 Spitsstrook kmpt. 1.720"
R0040911,"0.018",R10,"107998.0955","188828.5405",H208L10,"51.00814898","3.770293072","125.0",1023,"complex Merelbeke-ring (7) (noordzijde)"
A0130001,"1.661",S09,"156819.0893","211188.6527",H192L00,"51.21061592","4.466339237","368.0",2354,"E313 Spitsstrook kmpt. 1.720"
A0140001,"99.7",R13,"148413.0851","211351.9373",H292L40,"51.21212238","4.346047502","494.0",3685,"Halve snede kmpt. 99.7"
R0010002,"14.973",R10,"149529.1363","211418.2943",H292L10,"51.21272072","4.362018776","495.0",3686,"Halve snede kmpt. 14.9"
